date,identifier,open,high,low,close,volume
2025-02-21,USD,1.0000,1.0024,0.9990,1.0014,7699654
2025-02-22,USD,1.0014,1.0024,0.9990,1.0000,5105068
2025-02-23,USD,1.0000,1.0010,0.9956,0.9966,8583772
2025-02-24,USD,0.9966,0.9976,0.9951,0.9961,7898175
2025-02-25,USD,0.9961,0.9971,0.9923,0.9933,6534686
2025-02-26,USD,0.9933,0.9943,0.9923,0.9933,2777057
2025-02-27,USD,0.9933,0.9952,0.9923,0.9942,2100733
2025-02-28,USD,0.9942,0.9964,0.9932,0.9954,7079666
2025-03-01,USD,0.9954,0.9964,0.9917,0.9927,2576630
2025-03-02,USD,0.9927,0.9960,0.9917,0.9950,2116750
2025-03-03,USD,0.9950,0.9960,0.9924,0.9934,6187001
2025-03-04,USD,0.9934,0.9944,0.9906,0.9916,4038898
2025-03-05,USD,0.9916,0.9944,0.9906,0.9934,6146697
2025-03-06,USD,0.9934,0.9944,0.9896,0.9906,7871535
2025-03-07,USD,0.9906,0.9916,0.9884,0.9894,4577378
2025-03-08,USD,0.9894,0.9912,0.9884,0.9902,6189687
2025-03-09,USD,0.9902,0.9913,0.9892,0.9903,3252231
2025-03-10,USD,0.9903,0.9919,0.9893,0.9909,8594319
2025-03-11,USD,0.9909,0.9919,0.9879,0.9889,8624100
2025-03-12,USD,0.9889,0.9912,0.9879,0.9902,8534330
2025-03-13,USD,0.9902,0.9913,0.9892,0.9903,2670703
2025-03-14,USD,0.9903,0.9922,0.9893,0.9912,4682770
2025-03-15,USD,0.9912,0.9922,0.9860,0.9870,7898878
2025-03-16,USD,0.9870,0.9880,0.9860,0.9870,1421338
2025-03-17,USD,0.9870,0.9881,0.9860,0.9871,9634357
2025-03-18,USD,0.9871,0.9881,0.9859,0.9869,7077018
2025-03-19,USD,0.9869,0.9879,0.9817,0.9827,3944130
2025-03-20,USD,0.9827,0.9837,0.9774,0.9784,6510082
2025-03-21,USD,0.9784,0.9827,0.9774,0.9817,2391016
2025-02-21,EUR,0.9000,0.9009,0.8966,0.8975,9818568
2025-02-22,EUR,0.8975,0.8984,0.8962,0.8971,5224871
2025-02-23,EUR,0.8971,0.8985,0.8962,0.8976,5534709
2025-02-24,EUR,0.8976,0.9001,0.8967,0.8992,9467431
2025-02-25,EUR,0.8992,0.9011,0.8983,0.9002,1506781
2025-02-26,EUR,0.9002,0.9011,0.8990,0.8999,9575876
2025-02-27,EUR,0.8999,0.9016,0.8990,0.9007,9453964
2025-02-28,EUR,0.9007,0.9016,0.8984,0.8993,5154342
2025-03-01,EUR,0.8993,0.9024,0.8984,0.9015,1206208
2025-03-02,EUR,0.9015,0.9058,0.9006,0.9049,8683914
2025-03-03,EUR,0.9049,0.9058,0.9037,0.9046,4314008
2025-03-04,EUR,0.9046,0.9055,0.9022,0.9031,2424415
2025-03-05,EUR,0.9031,0.9040,0.9006,0.9015,6400928
2025-03-06,EUR,0.9015,0.9029,0.9006,0.9020,3200126
2025-03-07,EUR,0.9020,0.9041,0.9011,0.9032,7874286
2025-03-08,EUR,0.9032,0.9041,0.8991,0.9000,7663275
2025-03-09,EUR,0.9000,0.9009,0.8964,0.8973,4063510
2025-03-10,EUR,0.8973,0.8982,0.8944,0.8953,1493330
2025-03-11,EUR,0.8953,0.9002,0.8944,0.8993,8397214
2025-03-12,EUR,0.8993,0.9034,0.8984,0.9025,9881784
2025-03-13,EUR,0.9025,0.9034,0.8980,0.8989,5709897
2025-03-14,EUR,0.8989,0.8998,0.8914,0.8923,9948422
2025-03-15,EUR,0.8923,0.8974,0.8914,0.8965,8906515
2025-03-16,EUR,0.8965,0.8978,0.8956,0.8969,2784248
2025-03-17,EUR,0.8969,0.8978,0.8926,0.8935,8824706
2025-03-18,EUR,0.8935,0.8944,0.8869,0.8878,6253562
2025-03-19,EUR,0.8878,0.8887,0.8865,0.8874,5242016
2025-03-20,EUR,0.8874,0.8893,0.8865,0.8884,9750470
2025-03-21,EUR,0.8884,0.8910,0.8875,0.8901,6067605
2025-02-21,JPY,110.0000,110.1100,109.8326,109.9425,4599610
2025-02-22,JPY,109.9425,110.0524,109.5136,109.6232,6308848
2025-02-23,JPY,109.6232,110.3123,109.5136,110.2021,8330603
2025-02-24,JPY,110.2021,110.3123,110.0307,110.1408,9351832
2025-02-25,JPY,110.1408,110.2760,110.0307,110.1658,7006260
2025-02-26,JPY,110.1658,110.3577,110.0556,110.2475,1134589
2025-02-27,JPY,110.2475,111.2790,110.1373,111.1678,6888273
2025-02-28,JPY,111.1678,111.8185,111.0566,111.7068,5136984
2025-03-01,JPY,111.7068,111.8185,111.3272,111.4386,2218063
2025-03-02,JPY,111.4386,111.6031,111.3272,111.4916,2257611
2025-03-03,JPY,111.4916,111.8097,111.3801,111.6980,1827631
2025-03-04,JPY,111.6980,111.8893,111.5863,111.7775,1589345
2025-03-05,JPY,111.7775,111.8893,111.4276,111.5391,4051729
2025-03-06,JPY,111.5391,111.6506,111.2535,111.3649,2622619
2025-03-07,JPY,111.3649,111.4763,110.4064,110.5169,1737040
2025-03-08,JPY,110.5169,110.6274,110.2106,110.3209,9809772
2025-03-09,JPY,110.3209,110.4312,109.9648,110.0749,6138452
