date,identifier,open,high,low,close,volume
2025-02-21,SPY,349.05,351.73,348.35,351.03,1105489
2025-02-22,SPY,351.03,351.73,345.28,345.97,4183235
2025-02-23,SPY,345.97,349.84,345.28,349.14,2691613
2025-02-24,SPY,349.14,356.16,348.44,355.45,2695983
2025-02-25,SPY,355.45,356.16,353.63,354.34,4823058
2025-02-26,SPY,354.34,359.42,353.63,358.70,4222416
2025-02-27,SPY,358.70,359.42,356.98,357.70,2712016
2025-02-28,SPY,357.70,358.42,356.18,356.89,3732509
2025-03-01,SPY,356.89,359.37,356.18,358.65,939893
2025-03-02,SPY,358.65,362.22,357.93,361.50,1658102
2025-03-03,SPY,361.50,362.22,356.83,357.55,4576589
2025-03-04,SPY,357.55,358.27,355.45,356.16,1983942
2025-03-05,SPY,356.16,356.87,353.89,354.60,2489382
2025-03-06,SPY,354.60,355.31,351.60,352.30,4286286
2025-03-07,SPY,352.30,353.00,347.46,348.16,4047179
2025-03-08,SPY,348.16,357.57,347.46,356.86,4362763
2025-03-09,SPY,356.86,357.57,354.02,354.73,3903474
2025-03-10,SPY,354.73,355.44,351.66,352.36,4918578
2025-03-11,SPY,352.36,357.86,351.66,357.15,1450194
2025-03-12,SPY,357.15,357.86,348.96,349.66,824240
2025-03-13,SPY,349.66,357.11,348.96,356.40,2307664
2025-03-14,SPY,356.40,357.11,355.42,356.13,3698976
2025-03-15,SPY,356.13,356.84,345.60,346.29,620977
2025-03-16,SPY,346.29,352.54,345.60,351.84,4653340
2025-03-17,SPY,351.84,363.45,351.14,362.72,1036490
2025-03-18,SPY,362.72,363.86,361.99,363.13,3899165
2025-03-19,SPY,363.13,363.98,362.40,363.25,1362109
2025-03-20,SPY,363.25,369.84,362.52,369.10,1221659
2025-03-21,SPY,369.10,374.17,368.36,373.42,603583
2025-02-21,IVV,398.24,414.81,397.44,413.98,3289944
2025-02-22,IVV,413.98,414.81,410.67,411.49,3430124
2025-02-23,IVV,411.49,412.31,402.98,403.79,3218488
2025-02-24,IVV,403.79,412.22,402.98,411.40,4830610
2025-02-25,IVV,411.40,412.22,400.87,401.67,2270445
2025-02-26,IVV,401.67,414.06,400.87,413.23,2326453
2025-02-27,IVV,413.23,425.94,412.40,425.09,4343123
2025-02-28,IVV,425.09,428.83,424.24,427.97,538236
2025-03-01,IVV,427.97,441.93,427.11,441.05,2326561
2025-03-02,IVV,441.05,456.33,440.17,455.42,4133460
2025-03-03,IVV,455.42,456.51,454.51,455.60,811271
2025-03-04,IVV,455.60,456.51,446.63,447.53,1692762
2025-03-05,IVV,447.53,448.83,446.63,447.93,551312
2025-03-06,IVV,447.93,451.33,447.03,450.43,702191
2025-03-07,IVV,450.43,451.65,449.53,450.75,1262528
2025-03-08,IVV,450.75,451.65,441.33,442.21,3181473
2025-03-09,IVV,442.21,447.06,441.33,446.17,3339776
2025-03-10,IVV,446.17,450.90,445.28,450.00,905531
2025-03-11,IVV,450.00,461.82,449.10,460.90,4319162
2025-03-12,IVV,460.90,466.47,459.98,465.54,2871861
2025-03-13,IVV,465.54,482.92,464.61,481.96,1680750
2025-03-14,IVV,481.96,491.20,481.00,490.22,2939366
2025-03-15,IVV,490.22,509.58,489.24,508.56,3708424
2025-03-16,IVV,508.56,513.47,507.54,512.45,1663942
2025-03-17,IVV,512.45,513.47,504.83,505.84,2683537
2025-03-18,IVV,505.84,511.73,504.83,510.71,1466803
2025-03-19,IVV,510.71,531.91,509.69,530.85,3120471
2025-03-20,IVV,530.85,539.83,529.79,538.75,1348782
2025-03-21,IVV,538.75,539.83,531.96,533.03,2639018
2025-02-21,VOO,382.11,382.87,379.99,380.75,1186070
2025-02-22,VOO,380.75,383.17,379.99,382.41,1638722
2025-02-23,VOO,382.41,390.49,381.65,389.71,980907
2025-02-24,VOO,389.71,390.49,386.63,387.40,3659627
2025-02-25,VOO,387.40,395.76,386.63,394.97,528314
2025-02-26,VOO,394.97,410.52,394.18,409.70,3435663
2025-02-27,VOO,409.70,410.52,385.59,386.36,2424396
2025-02-28,VOO,386.36,407.09,385.59,406.28,3586018
2025-03-01,VOO,406.28,417.99,405.47,417.16,1353072
2025-03-02,VOO,417.16,420.89,416.33,420.05,4467937
2025-03-03,VOO,420.05,428.65,419.21,427.79,758898
2025-03-04,VOO,427.79,436.47,426.93,435.60,950928
2025-03-05,VOO,435.60,436.47,418.97,419.81,3049277
2025-03-06,VOO,419.81,423.29,418.97,422.45,3200758
2025-03-07,VOO,422.45,423.29,418.81,419.65,1405922
2025-03-08,VOO,419.65,431.16,418.81,430.30,1826247
2025-03-09,VOO,430.30,440.03,429.44,439.15,2352428
2025-03-10,VOO,439.15,448.64,438.27,447.74,955449
2025-03-11,VOO,447.74,448.64,425.26,426.11,4430024
2025-03-12,VOO,426.11,428.08,425.26,427.23,1917040
2025-03-13,VOO,427.23,451.80,426.38,450.90,1426660
2025-03-14,VOO,450.90,451.80,436.98,437.86,500022
2025-03-15,VOO,437.86,438.74,435.83,436.70,3889456
2025-03-16,VOO,436.70,449.98,435.83,449.08,4409509
2025-03-17,VOO,449.08,449.98,441.91,442.80,2464489
2025-03-18,VOO,442.80,443.69,441.52,442.40,880038
2025-03-19,VOO,442.40,461.23,441.52,460.31,1810523
2025-03-20,VOO,460.31,503.76,459.39,502.75,2263162
2025-03-21,VOO,502.75,525.25,501.74,524.20,1889703
2025-02-21,VTI,201.50,201.90,194.97,195.36,1865458
2025-02-22,VTI,195.36,195.87,194.97,195.48,3808094
2025-02-23,VTI,195.48,197.21,195.09,196.82,4210817
2025-02-24,VTI,196.82,198.79,196.43,198.39,1842313
2025-02-25,VTI,198.39,198.79,192.76,193.15,4341376
2025-02-26,VTI,193.15,195.58,192.76,195.19,3844131
2025-02-27,VTI,195.19,205.57,194.80,205.16,3791481
2025-02-28,VTI,205.16,209.59,204.75,209.17,4366787
2025-03-01,VTI,209.17,213.09,208.75,212.66,4814624
2025-03-02,VTI,212.66,215.03,212.23,214.60,2408405
2025-03-03,VTI,214.60,218.78,214.17,218.34,4292781
2025-03-04,VTI,218.34,218.78,214.57,215.00,2214226
2025-03-05,VTI,215.00,219.42,214.57,218.98,3129926
2025-03-06,VTI,218.98,219.42,212.73,213.16,2807368
2025-03-07,VTI,213.16,213.59,206.25,206.66,3615476
2025-03-08,VTI,206.66,214.53,206.25,214.10,3187298
2025-03-09,VTI,214.10,217.92,213.67,217.49,2627197
2025-03-10,VTI,217.49,217.92,212.47,212.90,3333451
2025-03-11,VTI,212.90,220.22,212.47,219.78,4522689
2025-03-12,VTI,219.78,233.14,219.34,232.67,1919742
2025-03-13,VTI,232.67,240.43,232.20,239.95,1031832
2025-03-14,VTI,239.95,251.19,239.47,250.69,4807424
2025-03-15,VTI,250.69,251.19,238.83,239.31,3921519
2025-03-16,VTI,239.31,239.79,231.90,232.36,787310
2025-03-17,VTI,232.36,236.25,231.90,235.78,3293690
2025-03-18,VTI,235.78,236.25,233.02,233.49,1818176
2025-03-19,VTI,233.49,233.96,230.85,231.31,3054036
2025-03-20,VTI,231.31,231.77,226.32,226.77,2861002
2025-03-21,VTI,226.77,227.22,221.73,222.17,3787074
2025-02-21,QQQ,340.89,341.57,338.35,339.03,4214811
2025-02-22,QQQ,339.03,340.27,338.35,339.59,2024600
2025-02-23,QQQ,339.59,340.27,330.10,330.76,3552224
2025-02-24,QQQ,330.76,331.42,317.26,317.90,3383280
2025-02-25,QQQ,317.90,325.45,317.26,324.80,4671844
2025-02-26,QQQ,324.80,325.45,320.75,321.39,4290769
