date,identifier,open,high,low,close,volume
2025-02-21,NYSE,14000.00,14106.61,13972.00,14078.45,5718101
2025-02-22,NYSE,14078.45,14106.61,13932.90,13960.82,1642995
2025-02-23,NYSE,13960.82,13988.74,13863.16,13890.94,3218070
2025-02-24,NYSE,13890.94,13918.72,13783.03,13810.65,5398341
2025-02-25,NYSE,13810.65,14056.22,13783.03,14028.16,6664238
2025-02-26,NYSE,14028.16,14103.09,14000.10,14074.94,6693513
2025-02-27,NYSE,14074.94,14103.09,14039.28,14067.41,1248360
2025-02-28,NYSE,14067.41,14375.42,14039.28,14346.73,2280760
2025-03-01,NYSE,14346.73,14532.74,14318.04,14503.73,5663493
2025-03-02,NYSE,14503.73,14532.74,14258.27,14286.84,1141933
2025-03-03,NYSE,14286.84,14652.67,14258.27,14623.42,2323643
2025-03-04,NYSE,14623.42,14833.33,14594.17,14803.72,9235188
2025-03-05,NYSE,14803.72,14833.33,14668.95,14698.35,9417128
2025-03-06,NYSE,14698.35,15178.91,14668.95,15148.61,3578440
2025-03-07,NYSE,15148.61,15178.91,15030.88,15061.00,7028819
2025-03-08,NYSE,15061.00,15091.12,14999.67,15029.73,3694942
2025-03-09,NYSE,15029.73,15059.79,14920.13,14950.03,6912491
2025-03-10,NYSE,14950.03,14979.93,14758.93,14788.51,4192730
2025-03-11,NYSE,14788.51,14818.09,14662.52,14691.90,2084780
2025-03-12,NYSE,14691.90,14872.01,14662.52,14842.33,2122378
2025-03-13,NYSE,14842.33,15049.74,14812.65,15019.70,7652940
2025-03-14,NYSE,15019.70,15236.53,14989.66,15206.12,6792558
2025-03-15,NYSE,15206.12,15331.85,15175.71,15301.25,2432396
2025-03-16,NYSE,15301.25,15578.29,15270.65,15547.20,4872039
2025-03-17,NYSE,15547.20,15905.02,15516.11,15873.27,1425076
2025-03-18,NYSE,15873.27,15905.02,15789.33,15820.97,3592496
2025-03-19,NYSE,15820.97,15878.91,15789.33,15847.22,1047087
2025-03-20,NYSE,15847.22,15991.16,15815.53,15959.24,5406928
2025-03-21,NYSE,15959.24,16039.95,15927.32,16007.93,3680776
2025-02-21,NASDAQ,15000.00,15030.00,14878.06,14907.88,3833256
2025-02-22,NASDAQ,14907.88,14937.70,14825.93,14855.64,6486015
2025-02-23,NASDAQ,14855.64,14968.27,14825.93,14938.39,4963457
2025-02-24,NASDAQ,14938.39,15137.67,14908.51,15107.46,2304110
2025-02-25,NASDAQ,15107.46,15137.67,14814.54,14844.23,4241181
2025-02-26,NASDAQ,14844.23,15064.30,14814.54,15034.23,8139475
