date,identifier,open,high,low,close,volume
2025-02-21,VFIAX,73.35,74.93,72.98,74.56,3908417
2025-02-22,VFIAX,74.56,77.35,74.19,76.97,4316946
2025-02-23,VFIAX,76.97,77.53,76.59,77.14,3605359
2025-02-24,VFIAX,77.14,77.53,76.46,76.84,4412650
2025-02-25,VFIAX,76.84,77.22,76.27,76.65,3139843
2025-02-26,VFIAX,76.65,77.25,76.27,76.87,1961802
2025-02-27,VFIAX,76.87,77.25,76.48,76.86,1635031
2025-02-28,VFIAX,76.86,78.07,76.48,77.68,2943944
2025-03-01,VFIAX,77.68,78.25,77.29,77.86,3054202
2025-03-02,VFIAX,77.86,78.72,77.47,78.33,3003199
2025-03-03,VFIAX,78.33,79.16,77.94,78.77,3114282
2025-03-04,VFIAX,78.77,79.16,76.57,76.95,4465472
2025-03-05,VFIAX,76.95,79.60,76.57,79.20,2436131
2025-03-06,VFIAX,79.20,82.21,78.80,81.80,1956163
2025-03-07,VFIAX,81.80,82.21,80.84,81.25,3778506
2025-03-08,VFIAX,81.25,82.47,80.84,82.06,4116472
2025-03-09,VFIAX,82.06,82.47,81.40,81.81,1096853
2025-03-10,VFIAX,81.81,82.65,81.40,82.24,2988328
2025-03-11,VFIAX,82.24,82.65,80.12,80.52,3195585
2025-03-12,VFIAX,80.52,82.35,80.12,81.94,3869549
2025-03-13,VFIAX,81.94,82.35,80.24,80.64,1873560
2025-03-14,VFIAX,80.64,83.24,80.24,82.83,1860268
2025-03-15,VFIAX,82.83,83.24,80.98,81.39,2217129
2025-03-16,VFIAX,81.39,81.82,80.98,81.41,4755309
2025-03-17,VFIAX,81.41,81.82,80.34,80.74,4769902
2025-03-18,VFIAX,80.74,81.82,80.34,81.41,4027824
2025-03-19,VFIAX,81.41,81.82,80.36,80.76,4584369
2025-03-20,VFIAX,80.76,83.96,80.36,83.54,3472527
2025-03-21,VFIAX,83.54,84.18,83.12,83.76,3150906
2025-02-21,FCNTX,92.15,93.46,91.69,93.00,3589011
2025-02-22,FCNTX,93.00,93.56,92.53,93.09,4118417
2025-02-23,FCNTX,93.09,93.81,92.62,93.34,1619640
2025-02-24,FCNTX,93.34,95.17,92.87,94.70,4692549
2025-02-25,FCNTX,94.70,96.40,94.23,95.92,3633973
2025-02-26,FCNTX,95.92,98.06,95.44,97.57,3456953
2025-02-27,FCNTX,97.57,98.08,97.08,97.59,3911143
2025-02-28,FCNTX,97.59,99.25,97.10,98.76,1330689
2025-03-01,FCNTX,98.76,99.25,97.63,98.12,2551818
2025-03-02,FCNTX,98.12,98.61,97.21,97.70,1026280
2025-03-03,FCNTX,97.70,98.19,96.91,97.40,4941585
2025-03-04,FCNTX,97.40,98.77,96.91,98.28,1301731
2025-03-05,FCNTX,98.28,98.77,96.91,97.40,2730470
2025-03-06,FCNTX,97.40,98.53,96.91,98.04,3391869
2025-03-07,FCNTX,98.04,99.41,97.55,98.92,4930938
2025-03-08,FCNTX,98.92,99.96,98.43,99.46,2496231
2025-03-09,FCNTX,99.46,99.96,98.79,99.29,1326320
2025-03-10,FCNTX,99.29,100.53,98.79,100.03,3308206
2025-03-11,FCNTX,100.03,100.53,99.37,99.87,2344024
2025-03-12,FCNTX,99.87,101.29,99.37,100.79,4356084
2025-03-13,FCNTX,100.79,102.05,100.29,101.54,3096205
2025-03-14,FCNTX,101.54,102.05,100.60,101.11,2223749
2025-03-15,FCNTX,101.11,102.56,100.60,102.05,505790
2025-03-16,FCNTX,102.05,104.01,101.54,103.49,3841429
2025-03-17,FCNTX,103.49,104.75,102.97,104.23,683469
2025-03-18,FCNTX,104.23,105.92,103.71,105.39,2229070
2025-03-19,FCNTX,105.39,105.92,104.81,105.34,3425303
2025-03-20,FCNTX,105.34,105.87,102.63,103.15,3964809
2025-03-21,FCNTX,103.15,106.90,102.63,106.37,3067448
2025-02-21,VTSAX,69.39,69.74,68.89,69.24,4245219
2025-02-22,VTSAX,69.24,69.59,68.38,68.72,1839514
2025-02-23,VTSAX,68.72,69.87,68.38,69.52,850241
2025-02-24,VTSAX,69.52,70.19,69.17,69.84,1201731
2025-02-25,VTSAX,69.84,71.10,69.49,70.75,3120806
2025-02-26,VTSAX,70.75,71.41,70.40,71.05,2755493
2025-02-27,VTSAX,71.05,71.41,70.37,70.72,3047602
2025-02-28,VTSAX,70.72,71.25,70.37,70.90,3202231
2025-03-01,VTSAX,70.90,72.19,70.55,71.83,2708480
2025-03-02,VTSAX,71.83,73.29,71.47,72.93,3449041
2025-03-03,VTSAX,72.93,73.32,72.57,72.96,1553604
