date,identifier,open,high,low,close,volume
2025-02-21,SPX,4500.00,4533.07,4491.00,4524.02,1472228
2025-02-22,SPX,4524.02,4554.89,4514.97,4545.80,5164695
2025-02-23,SPX,4545.80,4580.18,4536.71,4571.04,3050437
2025-02-24,SPX,4571.04,4580.18,4548.44,4557.56,8305281
2025-02-25,SPX,4557.56,4566.68,4527.78,4536.85,6709349
2025-02-26,SPX,4536.85,4569.09,4527.78,4559.97,7245646
2025-02-27,SPX,4559.97,4569.09,4550.28,4559.40,4042350
2025-02-28,SPX,4559.40,4588.50,4550.28,4579.34,3956694
2025-03-01,SPX,4579.34,4607.59,4570.18,4598.39,4408560
2025-03-02,SPX,4598.39,4611.18,4589.19,4601.98,1170331
2025-03-03,SPX,4601.98,4651.51,4592.78,4642.23,8362023
2025-03-04,SPX,4642.23,4659.23,4632.95,4649.93,7514820
2025-03-05,SPX,4649.93,4701.36,4640.63,4691.98,3303909
2025-03-06,SPX,4691.98,4708.33,4682.60,4698.93,2788135
2025-03-07,SPX,4698.93,4708.33,4686.07,4695.46,6160133
2025-03-08,SPX,4695.46,4704.85,4686.01,4695.40,6864100
2025-03-09,SPX,4695.40,4743.06,4686.01,4733.59,4097123
2025-03-10,SPX,4733.59,4805.42,4724.12,4795.83,7793446
2025-03-11,SPX,4795.83,4805.42,4770.64,4780.20,2812527
2025-03-12,SPX,4780.20,4793.78,4770.64,4784.21,9523961
2025-03-13,SPX,4784.21,4828.44,4774.64,4818.80,9589436
2025-03-14,SPX,4818.80,4848.25,4809.16,4838.57,8130270
2025-03-15,SPX,4838.57,4873.31,4828.89,4863.58,4132787
2025-03-16,SPX,4863.58,4924.66,4853.85,4914.83,2181114
2025-03-17,SPX,4914.83,4942.90,4905.00,4933.03,9620444
2025-03-18,SPX,4933.03,4942.90,4912.72,4922.57,1205247
2025-03-19,SPX,4922.57,4952.26,4912.72,4942.38,7124325
2025-03-20,SPX,4942.38,4952.26,4931.88,4941.76,8650051
2025-03-21,SPX,4941.76,4951.64,4930.76,4940.64,9437159
2025-02-21,DJI,36000.00,36072.00,35846.64,35918.48,6599924
2025-02-22,DJI,35918.48,37451.19,35846.64,37376.44,2129770
2025-02-23,DJI,37376.44,37451.19,37100.70,37175.05,3630633
2025-02-24,DJI,37175.05,38227.19,37100.70,38150.89,4427915
2025-02-25,DJI,38150.89,38227.19,37861.19,37937.06,4005440
2025-02-26,DJI,37937.06,38502.95,37861.19,38426.10,1331952
2025-02-27,DJI,38426.10,38502.95,38322.53,38399.33,1796769
2025-02-28,DJI,38399.33,38879.56,38322.53,38801.96,6582813
2025-03-01,DJI,38801.96,38879.56,38542.87,38620.11,6726721
2025-03-02,DJI,38620.11,38697.35,38028.46,38104.67,4320380
2025-03-03,DJI,38104.67,38615.75,38028.46,38538.67,8308302
2025-03-04,DJI,38538.67,39666.63,38461.59,39587.46,9489854
2025-03-05,DJI,39587.46,39666.63,39032.39,39110.61,3772482
2025-03-06,DJI,39110.61,40271.75,39032.39,40191.37,7370170
2025-03-07,DJI,40191.37,40938.43,40110.99,40856.72,8489519
2025-03-08,DJI,40856.72,40938.43,40267.93,40348.63,3446092
2025-03-09,DJI,40348.63,40429.33,39717.68,39797.27,5574563
2025-03-10,DJI,39797.27,40366.12,39717.68,40285.55,2222093
2025-03-11,DJI,40285.55,40366.12,39746.47,39826.12,5981038
2025-03-12,DJI,39826.12,40248.39,39746.47,40168.05,5411166
2025-03-13,DJI,40168.05,40263.10,40087.71,40182.73,2616391
2025-03-14,DJI,40182.73,40263.10,39418.34,39497.33,8364452
2025-03-15,DJI,39497.33,39986.45,39418.34,39906.64,7374528
2025-03-16,DJI,39906.64,39986.45,39155.32,39233.79,1662912
2025-03-17,DJI,39233.79,39312.26,39035.55,39113.78,7728724
2025-03-18,DJI,39113.78,40818.01,39035.55,40736.54,9907936
2025-03-19,DJI,40736.54,42010.66,40655.07,41926.81,4136591
2025-03-20,DJI,41926.81,42034.51,41842.96,41950.61,3262628
2025-03-21,DJI,41950.61,42091.19,41866.71,42007.18,4457975
2025-02-21,NDX,15000.00,15312.29,14970.00,15281.73,6306073
2025-02-22,NDX,15281.73,15312.80,15251.17,15282.24,7034148
2025-02-23,NDX,15282.24,15312.80,15162.60,15192.99,2444651
2025-02-24,NDX,15192.99,15368.19,15162.60,15337.51,5735969
2025-02-25,NDX,15337.51,15604.45,15306.83,15573.30,2596992
2025-02-26,NDX,15573.30,15604.45,15433.88,15464.81,9969957
2025-02-27,NDX,15464.81,15495.74,15048.57,15078.73,9716572
2025-02-28,NDX,15078.73,15258.52,15048.57,15228.06,2846858
2025-03-01,NDX,15228.06,15730.90,15197.60,15699.50,4128942
2025-03-02,NDX,15699.50,15984.07,15668.10,15952.17,9428564
2025-03-03,NDX,15952.17,15984.07,15719.16,15750.66,1128203
2025-03-04,NDX,15750.66,15922.73,15719.16,15890.95,3038793
2025-03-05,NDX,15890.95,16325.63,15859.17,16293.04,1950603
2025-03-06,NDX,16293.04,16325.63,16188.12,16220.56,5431816
2025-03-07,NDX,16220.56,16253.00,16016.80,16048.90,9350071
2025-03-08,NDX,16048.90,16495.19,16016.80,16462.27,5678754
2025-03-09,NDX,16462.27,16863.13,16429.35,16829.47,3036429
2025-03-10,NDX,16829.47,17033.11,16795.81,16999.11,1448472
2025-03-11,NDX,16999.11,17147.31,16965.11,17113.08,2163565
2025-03-12,NDX,17113.08,17316.51,17078.85,17281.95,2831707
2025-03-13,NDX,17281.95,17596.03,17247.39,17560.91,7837696
2025-03-14,NDX,17560.91,18262.09,17525.79,18225.64,4225396
2025-03-15,NDX,18225.64,18262.09,17612.20,17647.49,8599056
2025-03-16,NDX,17647.49,17831.05,17612.20,17795.46,3094012
2025-03-17,NDX,17795.46,17831.05,17648.45,17683.82,5322648
2025-03-18,NDX,17683.82,17719.19,17197.39,17231.85,9794797
2025-03-19,NDX,17231.85,17467.42,17197.39,17432.55,1916731
2025-03-20,NDX,17432.55,17815.71,17397.68,17780.15,2237119
2025-03-21,NDX,17780.15,17821.41,17744.59,17785.84,7449495
2025-02-21,FTSE,7000.00,7014.00,6947.15,6961.07,3249150
2025-02-22,FTSE,6961.07,6999.75,6947.15,6985.78,6632880
2025-02-23,FTSE,6985.78,7055.41,6971.81,7041.33,8365943
2025-02-24,FTSE,7041.33,7164.44,7027.25,7150.14,6057519
2025-02-25,FTSE,7150.14,7222.59,7135.84,7208.17,9837726
2025-02-26,FTSE,7208.17,7386.15,7193.75,7371.41,5909508
2025-02-27,FTSE,7371.41,7386.15,7297.71,7312.33,6655950
2025-02-28,FTSE,7312.33,7326.95,7257.54,7272.08,8986554
2025-03-01,FTSE,7272.08,7286.62,7198.83,7213.26,7196108
2025-03-02,FTSE,7213.26,7289.90,7198.83,7275.35,7518395
2025-03-03,FTSE,7275.35,7289.90,7197.48,7211.90,5888283
2025-03-04,FTSE,7211.90,7289.53,7197.48,7274.98,6640515
2025-03-05,FTSE,7274.98,7324.59,7260.43,7309.97,3209739
2025-03-06,FTSE,7309.97,7324.59,7168.54,7182.91,7203510
2025-03-07,FTSE,7182.91,7403.13,7168.54,7388.35,4534895
2025-03-08,FTSE,7388.35,7403.13,7361.97,7376.72,6391430
2025-03-09,FTSE,7376.72,7391.47,7289.79,7304.40,1114807
2025-03-10,FTSE,7304.40,7333.28,7289.79,7318.64,3830668
2025-03-11,FTSE,7318.64,7333.28,7287.04,7301.64,2321429
2025-03-12,FTSE,7301.64,7549.59,7287.04,7534.52,6850187
2025-03-13,FTSE,7534.52,7549.59,7511.08,7526.13,4962273
2025-03-14,FTSE,7526.13,7597.12,7511.08,7581.96,1116159
2025-03-15,FTSE,7581.96,7597.12,7437.89,7452.80,7814737
2025-03-16,FTSE,7452.80,7647.43,7437.89,7632.17,4372844
2025-03-17,FTSE,7632.17,7678.73,7616.91,7663.40,3028229
2025-03-18,FTSE,7663.40,7678.73,7587.55,7602.76,2183146
2025-03-19,FTSE,7602.76,7627.88,7587.55,7612.65,3763590
2025-03-20,FTSE,7612.65,7655.95,7597.42,7640.67,8008754
2025-03-21,FTSE,7640.67,7678.84,7625.39,7663.51,4077949
2025-02-21,DAX,15000.00,15030.00,14958.51,14988.49,5115322
2025-02-22,DAX,14988.49,15167.30,14958.51,15137.03,2427300
2025-02-23,DAX,15137.03,15385.10,15106.76,15354.39,6222929
2025-02-24,DAX,15354.39,15446.24,15323.68,15415.41,6180104
2025-02-25,DAX,15415.41,15446.24,14882.04,14911.86,3615499
2025-02-26,DAX,14911.86,14999.67,14882.04,14969.73,4281133
2025-02-27,DAX,14969.73,15185.07,14939.79,15154.76,5679943
2025-02-28,DAX,15154.76,15185.07,14793.98,14823.63,2264416
2025-03-01,DAX,14823.63,15024.34,14793.98,14994.35,1101014
2025-03-02,DAX,14994.35,15158.31,14964.36,15128.05,2497140
2025-03-03,DAX,15128.05,15452.57,15097.79,15421.73,5381046
2025-03-04,DAX,15421.73,15452.57,15139.33,15169.67,3588575
2025-03-05,DAX,15169.67,15200.01,14974.84,15004.85,7318239
2025-03-06,DAX,15004.85,15034.86,14871.33,14901.13,9181045
2025-03-07,DAX,14901.13,14955.61,14871.33,14925.76,6935054
2025-03-08,DAX,14925.76,14955.61,14840.05,14869.79,9416010
2025-03-09,DAX,14869.79,14899.53,14680.62,14710.04,2550135
2025-03-10,DAX,14710.04,14739.46,14646.63,14675.98,4921697
2025-03-11,DAX,14675.98,14824.40,14646.63,14794.81,4070242
2025-03-12,DAX,14794.81,15107.46,14765.22,15077.31,5221620
2025-03-13,DAX,15077.31,15327.63,15047.16,15297.04,1518502
2025-03-14,DAX,15297.04,15327.63,15051.21,15081.37,6405311
2025-03-15,DAX,15081.37,15158.80,15051.21,15128.54,3974932
2025-03-16,DAX,15128.54,15158.80,15044.22,15074.37,1347916
2025-03-17,DAX,15074.37,15104.52,14902.90,14932.77,1707535
2025-03-18,DAX,14932.77,15137.77,14902.90,15107.55,4102409
2025-03-19,DAX,15107.55,15137.77,14829.40,14859.12,7860970
2025-03-20,DAX,14859.12,14888.84,14612.26,14641.54,1311224
2025-03-21,DAX,14641.54,14670.82,14232.98,14261.50,2033534
2025-02-21,CAC,6800.00,6813.60,6715.24,6728.70,2213583
2025-02-22,CAC,6728.70,6749.66,6715.24,6736.19,4231002
2025-02-23,CAC,6736.19,6923.03,6722.72,6909.21,3059773
2025-02-24,CAC,6909.21,6923.03,6826.66,6840.34,8500809
2025-02-25,CAC,6840.34,6894.53,6826.66,6880.77,8768334
2025-02-26,CAC,6880.77,6964.23,6867.01,6950.33,7734022
2025-02-27,CAC,6950.33,6975.95,6936.43,6962.03,9977054
2025-02-28,CAC,6962.03,7045.08,6948.11,7031.02,1474975
2025-03-01,CAC,7031.02,7127.15,7016.96,7112.92,3264894
