portfolio_name,risk_profile,time_horizon,assets,estimated_volatility,average_return
Bond_Portfolio_1,Low,Long Term,Japan 5Y Government Bond:10.53%; US 10Y Treasury:2.63%; Switzerland 10Y Bond:6.58%; Germany 10Y Bund:3.95%; Norway 10Y Bond:9.21%; Italy 5Y BTP:7.89%; Netherlands 5Y Bond:6.58%; Spain 10Y Bono:7.89%; Sweden 10Y Bond:6.58%; Australia 10Y Bond:7.89%; Brazil 5Y Bond:9.21%; US 30Y Treasury:13.16%; Denmark 5Y Bond:7.89%,0.012,0.005
Bond_Portfolio_2,High,Short Term,Germany 5Y Bund:9.28%; US 30Y Treasury:3.09%; Australia 5Y Bond:9.28%; Germany 10Y Bund:9.28%; Canada 10Y Government Bond:6.19%; Switzerland 10Y Bond:2.06%; Norway 5Y Bond:10.31%; Netherlands 10Y Bond:7.22%; Spain 10Y Bono:5.15%; US 10Y Treasury:10.31%; US 2Y Treasury:9.28%; Japan 10Y Government Bond:1.03%; UK 5Y Gilt:8.25%; Italy 10Y BTP:9.28%,0.038,0.011
Bond_Portfolio_3,High,Short Term,Norway 5Y Bond:9.09%; Italy 5Y BTP:12.12%; Denmark 10Y Bond:9.09%; Japan 10Y Government Bond:15.15%; Australia 5Y Bond:1.52%; Spain 5Y Bono:13.64%; Canada 5Y Government Bond:6.06%; UK 5Y Gilt:9.09%; Netherlands 10Y Bond:12.12%; Germany 10Y Bund:12.12%,0.036,0.012
Bond_Portfolio_4,Medium,Long Term,Canada 5Y Government Bond:1.50%; US 2Y Treasury:6.77%; Australia 5Y Bond:7.52%; Norway 10Y Bond:6.02%; Brazil 10Y Bond:7.52%; France 5Y OAT:7.52%; France 10Y OAT:2.26%; US 10Y Treasury:7.52%; Spain 10Y Bono:1.50%; Switzerland 5Y Bond:6.02%; Switzerland 10Y Bond:3.76%; Australia 10Y Bond:1.50%; US 30Y Treasury:0.75%; Norway 5Y Bond:3.76%; Denmark 5Y Bond:5.26%; Germany 5Y Bund:3.76%; UK 10Y Gilt:6.77%; Denmark 10Y Bond:7.52%; Japan 10Y Government Bond:7.52%; Canada 10Y Government Bond:5.26%,0.027,0.005
Bond_Portfolio_5,Low,Long Term,Spain 10Y Bono:3.03%; Japan 10Y Government Bond:10.10%; Australia 10Y Bond:2.02%; Spain 5Y Bono:8.08%; Switzerland 10Y Bond:1.01%; France 5Y OAT:2.02%; Germany 5Y Bund:2.02%; Germany 10Y Bund:7.07%; Sweden 10Y Bond:6.06%; US 2Y Treasury:7.07%; Australia 5Y Bond:3.03%; Italy 5Y BTP:5.05%; Canada 5Y Government Bond:8.08%; Denmark 5Y Bond:9.09%; Brazil 10Y Bond:5.05%; UK 10Y Gilt:10.10%; Netherlands 5Y Bond:4.04%; France 10Y OAT:1.01%; Italy 10Y BTP:6.06%,0.01,0.005
Bond_Portfolio_6,Low,Long Term,Canada 5Y Government Bond:4.44%; France 5Y OAT:3.33%; Canada 10Y Government Bond:8.89%; US 10Y Treasury:3.33%; Sweden 5Y Bond:11.11%; Denmark 5Y Bond:4.44%; Italy 10Y BTP:6.67%; Norway 5Y Bond:11.11%; Italy 5Y BTP:2.22%; UK 5Y Gilt:8.89%; US 2Y Treasury:10.00%; Norway 10Y Bond:3.33%; Netherlands 10Y Bond:7.78%; Switzerland 10Y Bond:1.11%; Brazil 10Y Bond:5.56%; Switzerland 5Y Bond:7.78%,0.012,0.002
Bond_Portfolio_7,Medium,Short Term,Norway 5Y Bond:2.20%; US 10Y Treasury:6.59%; Denmark 10Y Bond:3.30%; Spain 5Y Bono:6.59%; Spain 10Y Bono:7.69%; Denmark 5Y Bond:1.10%; Brazil 10Y Bond:6.59%; Switzerland 5Y Bond:3.30%; Switzerland 10Y Bond:5.49%; Norway 10Y Bond:3.30%; Sweden 5Y Bond:1.10%; Sweden 10Y Bond:1.10%; Canada 5Y Government Bond:6.59%; Japan 10Y Government Bond:1.10%; UK 10Y Gilt:5.49%; Germany 5Y Bund:10.99%; Australia 10Y Bond:10.99%; Australia 5Y Bond:6.59%; France 5Y OAT:9.89%,0.026,0.007
Bond_Portfolio_8,Medium,Short Term,France 10Y OAT:6.33%; UK 10Y Gilt:2.53%; Norway 5Y Bond:12.66%; Spain 5Y Bono:10.13%; Japan 5Y Government Bond:11.39%; Netherlands 10Y Bond:1.27%; Sweden 10Y Bond:10.13%; US 30Y Treasury:2.53%; US 10Y Treasury:5.06%; Brazil 10Y Bond:1.27%; Japan 10Y Government Bond:12.66%; Australia 10Y Bond:6.33%; Spain 10Y Bono:2.53%; UK 5Y Gilt:1.27%; Sweden 5Y Bond:2.53%; Canada 10Y Government Bond:3.80%; Italy 10Y BTP:2.53%; Germany 10Y Bund:3.80%; Australia 5Y Bond:1.27%,0.025,0.01
Bond_Portfolio_9,Low,Medium Term,Denmark 10Y Bond:2.35%; Italy 5Y BTP:4.71%; Brazil 5Y Bond:3.53%; Canada 5Y Government Bond:8.24%; Australia 10Y Bond:9.41%; Germany 5Y Bund:9.41%; Switzerland 5Y Bond:9.41%; Spain 10Y Bono:8.24%; Switzerland 10Y Bond:5.88%; UK 5Y Gilt:9.41%; US 30Y Treasury:10.59%; Japan 10Y Government Bond:4.71%; Netherlands 5Y Bond:2.35%; Norway 5Y Bond:11.76%,0.013,0.003
Bond_Portfolio_10,Medium,Long Term,Australia 5Y Bond:4.76%; Germany 10Y Bund:1.19%; Italy 10Y BTP:2.38%; US 30Y Treasury:1.19%; Denmark 10Y Bond:11.90%; Canada 5Y Government Bond:3.57%; Denmark 5Y Bond:9.52%; Switzerland 5Y Bond:4.76%; Netherlands 5Y Bond:2.38%; US 2Y Treasury:4.76%; France 10Y OAT:2.38%; Italy 5Y BTP:8.33%; Norway 10Y Bond:10.71%; France 5Y OAT:11.90%; Norway 5Y Bond:4.76%; Germany 5Y Bund:8.33%; Spain 10Y Bono:4.76%; UK 10Y Gilt:2.38%,0.021,0.006
