portfolio_name,risk_profile,time_horizon,assets,estimated_volatility,average_return
ETF_Portfolio_1,Low,Short Term,LQD:3.53%; QQQ:4.71%; VNQ:2.35%; XLI:5.88%; VHT:3.53%; EEM:1.18%; XLY:7.06%; IWM:4.71%; SPY:9.41%; IJH:8.24%; EFA:7.06%; IEMG:5.88%; MTUM:4.71%; VWO:5.88%; IWD:4.71%; SPYG:5.88%; VTI:2.35%; GDX:7.06%; XLV:5.88%,0.023,0.004
ETF_Portfolio_2,High,Medium Term,XLF:1.03%; VWO:3.09%; IWF:3.09%; IVV:6.19%; EFA:6.19%; VUG:5.15%; IYR:1.03%; AGG:7.22%; MTUM:10.31%; GDX:10.31%; XLV:1.03%; IWD:6.19%; VTI:4.12%; EEM:4.12%; IJH:10.31%; XLI:5.15%; QQQ:6.19%; XLC:3.09%; LQD:1.03%; XLY:5.15%,0.063,0.034
ETF_Portfolio_3,Medium,Short Term,VTV:1.49%; XLE:14.93%; IWF:5.97%; QQQ:7.46%; VNQ:13.43%; LQD:11.94%; XLI:11.94%; IWD:13.43%; IWM:4.48%; GDX:14.93%,0.038,0.018
ETF_Portfolio_4,Medium,Short Term,XLE:4.05%; VTV:13.51%; IWM:13.51%; VUG:5.41%; IEMG:2.70%; QQQ:6.76%; EEM:12.16%; AGG:13.51%; XLY:10.81%; VNQ:6.76%; EFA:9.46%; VOO:1.35%,0.033,0.016
ETF_Portfolio_5,High,Medium Term,VNQ:3.75%; QQQ:11.25%; EEM:7.50%; XLF:11.25%; VTI:2.50%; LQD:10.00%; SPY:11.25%; IWM:2.50%; VOO:5.00%; XLB:12.50%; GDX:11.25%; IWF:1.25%; AGG:7.50%; XLE:2.50%,0.066,0.039
ETF_Portfolio_6,Low,Short Term,LQD:11.11%; SPY:1.11%; VHT:6.67%; XLE:5.56%; IWF:3.33%; IEMG:11.11%; XLC:1.11%; GDX:11.11%; EFA:11.11%; IWD:5.56%; SPYG:6.67%; XLI:7.78%; XLV:3.33%; VTV:1.11%; MTUM:4.44%; VNQ:8.89%,0.014,0.008
ETF_Portfolio_7,Low,Short Term,VNQ:4.20%; XLY:6.29%; VUG:5.59%; GDX:6.29%; LQD:6.99%; XLI:1.40%; XLB:5.59%; VTI:5.59%; XLE:2.10%; XLV:6.29%; IWF:4.90%; SPY:6.29%; SPYG:4.90%; EEM:4.90%; IJH:6.29%; IWD:4.90%; MTUM:5.59%; XLF:6.99%; VTV:2.80%; VOO:2.10%,0.023,0.009
ETF_Portfolio_8,Low,Long Term,VWO:4.44%; IYR:5.56%; AGG:3.33%; VTI:5.56%; VUG:8.89%; XLV:7.78%; QQQ:6.67%; SPY:1.11%; VNQ:1.11%; XLF:8.89%; VTV:1.11%; XLI:4.44%; IWM:10.00%; LQD:8.89%; XLY:3.33%; IWF:10.00%; XLE:7.78%; IWD:1.11%,0.011,0.005
ETF_Portfolio_9,Low,Short Term,IYR:6.67%; IWF:3.81%; EFA:8.57%; VOO:0.95%; SPY:6.67%; IVV:0.95%; SPYG:1.90%; XLI:0.95%; IWD:9.52%; VHT:5.71%; VUG:9.52%; XLV:0.95%; VNQ:7.62%; XLY:1.90%; QQQ:3.81%; XLC:3.81%; GDX:4.76%; VWO:5.71%; IEMG:6.67%; EEM:9.52%,0.028,0.009
ETF_Portfolio_10,High,Long Term,GDX:2.02%; IWM:3.03%; QQQ:5.05%; VTI:2.02%; XLF:1.01%; VNQ:5.05%; IJH:8.08%; XLY:6.06%; VUG:10.10%; AGG:5.05%; SPYG:6.06%; XLV:9.09%; LQD:9.09%; IWD:2.02%; VOO:5.05%; XLI:6.06%; EFA:5.05%; IYR:10.10%,0.064,0.037
ETF_Portfolio_11,High,Short Term,VWO:2.47%; QQQ:1.23%; VNQ:4.94%; IWM:7.41%; IWF:1.23%; XLI:8.64%; GDX:6.17%; VTV:7.41%; MTUM:7.41%; VUG:2.47%; IJH:8.64%; XLV:4.94%; VHT:11.11%; SPY:9.88%; XLE:9.88%; VTI:1.23%; IWD:4.94%,0.085,0.04
ETF_Portfolio_12,High,Long Term,XLB:4.55%; IYR:10.23%; EFA:6.82%; EEM:6.82%; SPYG:1.14%; GDX:4.55%; XLY:6.82%; MTUM:9.09%; IWM:9.09%; VTV:10.23%; VTI:10.23%; VUG:1.14%; VWO:7.95%; IWD:11.36%,0.085,0.033
ETF_Portfolio_13,Medium,Long Term,IVV:10.00%; IWF:3.33%; VTI:13.33%; EFA:10.00%; AGG:1.67%; IWM:1.67%; VHT:11.67%; SPY:16.67%; VTV:3.33%; VNQ:15.00%; EEM:8.33%; IYR:5.00%,0.036,0.017
ETF_Portfolio_14,High,Medium Term,VNQ:3.45%; XLY:6.90%; MTUM:5.75%; SPYG:2.30%; XLV:6.90%; EEM:11.49%; XLB:4.60%; EFA:4.60%; AGG:8.05%; XLF:11.49%; XLI:5.75%; VTI:1.15%; GDX:10.34%; VHT:8.05%; SPY:1.15%; VWO:8.05%,0.067,0.02
ETF_Portfolio_15,High,Long Term,XLB:3.16%; VHT:10.53%; XLE:3.16%; VTV:6.32%; VOO:6.32%; XLI:6.32%; AGG:2.11%; QQQ:9.47%; MTUM:7.37%; EEM:9.47%; IVV:10.53%; VWO:5.26%; VTI:2.11%; IYR:3.16%; XLF:3.16%; EFA:1.05%; IJH:4.21%; IWM:6.32%,0.077,0.029
ETF_Portfolio_16,High,Long Term,MTUM:2.94%; XLC:8.82%; IYR:3.92%; VUG:0.98%; SPY:0.98%; VOO:9.80%; GDX:1.96%; XLY:7.84%; VTI:8.82%; XLI:6.86%; QQQ:7.84%; IWD:5.88%; SPYG:7.84%; VHT:5.88%; XLF:0.98%; LQD:1.96%; IWF:9.80%; IVV:6.86%,0.08,0.034
ETF_Portfolio_17,Medium,Short Term,IJH:4.08%; VWO:6.12%; VTI:10.20%; XLV:9.18%; XLF:9.18%; XLI:1.02%; EFA:7.14%; XLE:5.10%; VTV:6.12%; SPY:4.08%; VHT:10.20%; IEMG:10.20%; IVV:5.10%; MTUM:8.16%; IWF:4.08%,0.044,0.016
ETF_Portfolio_18,Medium,Short Term,VNQ:10.29%; XLB:7.35%; EEM:8.82%; VWO:11.76%; IJH:14.71%; EFA:1.47%; GDX:11.76%; SPY:1.47%; LQD:8.82%; IVV:5.88%; XLE:13.24%; AGG:4.41%,0.048,0.012
ETF_Portfolio_19,High,Medium Term,VTI:2.00%; XLE:8.00%; EEM:4.00%; SPY:9.00%; IJH:8.00%; IEMG:3.00%; VWO:1.00%; XLB:9.00%; IVV:3.00%; IWF:3.00%; XLY:10.00%; VTV:6.00%; LQD:10.00%; XLI:5.00%; VOO:4.00%; EFA:3.00%; VNQ:6.00%; GDX:6.00%,0.099,0.038
ETF_Portfolio_20,High,Short Term,EEM:10.99%; IWF:8.79%; VHT:6.59%; VTI:2.20%; IVV:3.30%; IEMG:7.69%; XLV:5.49%; LQD:10.99%; XLY:4.40%; VOO:8.79%; IYR:8.79%; VTV:5.49%; IWM:10.99%; MTUM:5.49%,0.066,0.022
