portfolio_name,risk_profile,time_horizon,assets,estimated_volatility,average_return
Funds_Portfolio_1,High,Long Term,VIVAX:4.46%; FSSNX:3.57%; AEPGX:4.46%; VSMAX:5.36%; VBTLX:3.57%; FCNTX:7.14%; VIMSX:8.04%; DODGX:7.14%; VTSAX:0.89%; FLPSX:7.14%; FSCKX:8.93%; VWELX:2.68%; FSPSX:4.46%; AIVSX:4.46%; FEMKX:3.57%; PRSVX:4.46%; VGSLX:4.46%; AGTHX:3.57%; FPURX:3.57%; VINIX:8.04%,0.034,0.02
Funds_Portfolio_2,Medium,Short Term,FEMKX:10.98%; VSMAX:2.44%; AEPGX:1.22%; VTSAX:1.22%; PRSVX:6.10%; FRESX:12.20%; VINIX:9.76%; FSSNX:3.66%; AIVSX:7.32%; TRBCX:8.54%; FPURX:12.20%; FCNTX:9.76%; VEMAX:2.44%; VFIAX:8.54%; VGSLX:3.66%,0.018,0.008
Funds_Portfolio_3,Medium,Medium Term,FSCKX:6.06%; VBTLX:4.04%; VIMSX:7.07%; PRSVX:7.07%; VIVAX:6.06%; FEMKX:10.10%; VWELX:8.08%; FSPSX:8.08%; VTIAX:7.07%; VINIX:9.09%; FPURX:3.03%; FLPSX:4.04%; AIVSX:9.09%; VEXAX:6.06%; FSSNX:5.05%,0.029,0.008
Funds_Portfolio_4,High,Long Term,FXAIX:5.19%; AIVSX:1.30%; FEMKX:6.49%; VIGAX:10.39%; VFIAX:2.60%; FSCKX:2.60%; FCNTX:10.39%; VTIAX:11.69%; ANWPX:11.69%; PRFDX:1.30%; VIMSX:7.79%; AGTHX:3.90%; FRESX:9.09%; VTSAX:1.30%; PRSVX:12.99%; VBTLX:1.30%,0.033,0.019
Funds_Portfolio_5,Low,Long Term,VEXAX:8.57%; TRBCX:1.43%; FEMKX:12.86%; AGTHX:1.43%; VBTLX:4.29%; FSSNX:11.43%; FXAIX:10.00%; VTIAX:7.14%; VIGAX:7.14%; VFIAX:8.57%; FSCKX:2.86%; VWELX:7.14%; VINIX:5.71%; VIMSX:11.43%,0.008,0.005
Funds_Portfolio_6,Low,Long Term,TRBCX:2.33%; AEPGX:5.81%; PRSVX:5.81%; FRESX:3.49%; FXAIX:2.33%; FSSNX:11.63%; AIVSX:6.98%; VIMSX:5.81%; FPURX:11.63%; VBTLX:10.47%; FCNTX:6.98%; VIGAX:11.63%; FSCKX:1.16%; VGSLX:6.98%; FLPSX:6.98%,0.005,0.003
Funds_Portfolio_7,Low,Short Term,VIGAX:13.64%; FSCKX:4.55%; FSSNX:3.03%; VTIAX:6.06%; PRSVX:3.03%; VEXAX:9.09%; FPURX:10.61%; VTSAX:4.55%; TRBCX:9.09%; VWELX:3.03%; FRESX:9.09%; DODGX:4.55%; FCNTX:10.61%; VIMSX:9.09%,0.006,0.003
Funds_Portfolio_8,High,Medium Term,VWELX:2.47%; VTSAX:11.11%; VTIAX:11.11%; VINIX:8.64%; FSCKX:9.88%; ANWPX:4.94%; FXAIX:3.70%; FSSNX:6.17%; FSPSX:6.17%; FRESX:8.64%; VGSLX:4.94%; AGTHX:4.94%; VIMSX:6.17%; VIGAX:11.11%,0.033,0.011
Funds_Portfolio_9,Medium,Short Term,FLPSX:4.48%; FSPSX:1.49%; ANWPX:1.49%; VWELX:5.97%; VTSAX:10.45%; VIVAX:8.96%; FSSNX:7.46%; VIGAX:13.43%; FSCKX:14.93%; PRFDX:1.49%; FPURX:11.94%; FCNTX:14.93%; AEPGX:2.99%,0.023,0.005
Funds_Portfolio_10,High,Medium Term,AGTHX:5.66%; PRSVX:18.87%; PRFDX:5.66%; DODGX:1.89%; FSPSX:5.66%; VGSLX:9.43%; ANWPX:9.43%; AIVSX:15.09%; VBTLX:11.32%; FCNTX:13.21%; TRBCX:3.77%,0.047,0.017
Funds_Portfolio_11,Medium,Long Term,AGTHX:5.65%; VGSLX:4.84%; FPURX:5.65%; AEPGX:7.26%; VEMAX:1.61%; FSPSX:4.84%; VTSAX:7.26%; FCNTX:4.84%; VBTLX:3.23%; FXAIX:3.23%; DODGX:3.23%; VEXAX:7.26%; VIVAX:7.26%; FSCKX:6.45%; VINIX:3.23%; VFIAX:4.84%; FRESX:8.06%; ANWPX:4.84%; PRFDX:6.45%,0.016,0.01
Funds_Portfolio_12,High,Short Term,FSPSX:6.12%; PRSVX:8.16%; VEMAX:10.20%; VTSAX:16.33%; VEXAX:12.24%; FSCKX:10.20%; AEPGX:2.04%; VIGAX:18.37%; VFIAX:12.24%; VINIX:4.08%,0.032,0.019
Funds_Portfolio_13,Medium,Short Term,PRSVX:7.83%; FLPSX:0.87%; VWELX:7.83%; FEMKX:3.48%; FCNTX:8.70%; FXAIX:6.09%; FRESX:3.48%; AIVSX:0.87%; TRBCX:6.09%; VIGAX:3.48%; AEPGX:6.09%; FPURX:5.22%; VTIAX:6.96%; VEXAX:7.83%; VIVAX:6.96%; VGSLX:8.70%; PRFDX:4.35%; VIMSX:5.22%,0.029,0.01
Funds_Portfolio_14,High,Long Term,FRESX:1.02%; AEPGX:2.04%; FCNTX:10.20%; VEMAX:9.18%; VWELX:5.10%; VFIAX:7.14%; DODGX:7.14%; ANWPX:8.16%; FPURX:2.04%; VIVAX:7.14%; FSCKX:10.20%; FSSNX:3.06%; VGSLX:10.20%; FLPSX:8.16%; PRFDX:3.06%; FXAIX:6.12%,0.048,0.014
Funds_Portfolio_15,Medium,Short Term,FLPSX:2.25%; FXAIX:5.62%; VWELX:7.87%; FCNTX:4.49%; VEMAX:4.49%; FSPSX:1.12%; FRESX:11.24%; VIVAX:4.49%; VEXAX:5.62%; AGTHX:11.24%; FSSNX:10.11%; DODGX:11.24%; VIMSX:11.24%; AIVSX:8.99%,0.026,0.009
Funds_Portfolio_16,High,Short Term,VIGAX:3.85%; VEXAX:12.82%; VFIAX:11.54%; FSPSX:8.97%; PRSVX:6.41%; FEMKX:5.13%; VBTLX:5.13%; TRBCX:2.56%; FSSNX:10.26%; VGSLX:2.56%; VTSAX:5.13%; VWELX:2.56%; PRFDX:12.82%; FSCKX:1.28%; VEMAX:3.85%; FRESX:1.28%; AIVSX:2.56%; FLPSX:1.28%,0.042,0.012
Funds_Portfolio_17,Medium,Medium Term,FSPSX:5.32%; VEMAX:7.45%; DODGX:2.13%; AEPGX:6.38%; VINIX:8.51%; FCNTX:8.51%; FXAIX:7.45%; AGTHX:9.57%; PRSVX:3.19%; VTSAX:7.45%; FEMKX:8.51%; VIMSX:2.13%; ANWPX:8.51%; PRFDX:7.45%; VIGAX:5.32%; VEXAX:2.13%,0.025,0.008
Funds_Portfolio_18,Medium,Short Term,PRSVX:10.10%; VFIAX:5.05%; VIMSX:2.02%; VGSLX:9.09%; FPURX:4.04%; FCNTX:9.09%; VIVAX:2.02%; VEXAX:5.05%; VTIAX:9.09%; FSPSX:10.10%; TRBCX:5.05%; PRFDX:4.04%; VINIX:6.06%; FXAIX:10.10%; VWELX:3.03%; FEMKX:6.06%,0.018,0.006
Funds_Portfolio_19,Low,Long Term,PRFDX:8.82%; VEMAX:8.82%; VGSLX:2.94%; VTIAX:7.35%; VINIX:7.35%; TRBCX:2.94%; FRESX:4.41%; AGTHX:5.88%; VIVAX:8.82%; FCNTX:5.88%; VBTLX:2.94%; FPURX:5.88%; VIMSX:11.76%; VFIAX:7.35%; PRSVX:8.82%,0.01,0.005
Funds_Portfolio_20,Medium,Medium Term,FPURX:9.90%; PRFDX:6.93%; FLPSX:8.91%; VINIX:0.99%; AEPGX:5.94%; VIGAX:8.91%; FSPSX:6.93%; FEMKX:9.90%; AGTHX:4.95%; FRESX:2.97%; VIVAX:1.98%; VFIAX:5.94%; VTIAX:5.94%; FSCKX:7.92%; ANWPX:1.98%; VWELX:0.99%; VGSLX:8.91%,0.025,0.01
