portfolio_name,risk_profile,time_horizon,assets,estimated_volatility,average_return
Market_Indices_Portfolio_1,High,Long Term,NIFTY:13.85%; SSE:7.69%; TSX:6.15%; KOSPI:3.08%; DJI:10.77%; HSI:4.62%; FTSE:7.69%; NIK:4.62%; NDX:4.62%; ASX:12.31%; SPX:3.08%; BOVESPA:6.15%; CAC:4.62%; DAX:7.69%; IPC:3.08%,0.047,0.011
Market_Indices_Portfolio_2,Medium,Medium Term,ASX:11.59%; DJI:10.14%; SSE:2.90%; BOVESPA:13.04%; NIFTY:8.70%; TSX:14.49%; NIK:14.49%; KOSPI:11.59%; SPX:4.35%; FTSE:8.70%,0.021,0.01
Market_Indices_Portfolio_3,Low,Medium Term,BOVESPA:11.76%; NDX:11.76%; TSX:1.18%; IPC:7.06%; KOSPI:7.06%; DJI:2.35%; FTSE:2.35%; NIFTY:10.59%; SSE:1.18%; DAX:4.71%; CAC:9.41%; NIK:10.59%; ASX:9.41%; HSI:7.06%; SPX:3.53%,0.011,0.002
Market_Indices_Portfolio_4,Low,Medium Term,ASX:11.27%; DAX:9.86%; IPC:2.82%; TSX:2.82%; BOVESPA:11.27%; FTSE:1.41%; SSE:1.41%; KOSPI:5.63%; NIFTY:1.41%; SPX:8.45%; DJI:14.08%; NIK:9.86%; HSI:12.68%; CAC:2.82%; NDX:4.23%,0.007,0.002
Market_Indices_Portfolio_5,Low,Long Term,DJI:7.14%; KOSPI:7.14%; NDX:7.14%; CAC:9.52%; HSI:7.14%; NIK:4.76%; DAX:2.38%; FTSE:11.90%; ASX:19.05%; IPC:7.14%; SSE:9.52%; NIFTY:2.38%; BOVESPA:4.76%,0.01,0.004
Market_Indices_Portfolio_6,High,Long Term,CAC:11.36%; IPC:5.68%; DAX:5.68%; HSI:3.41%; FTSE:6.82%; TSX:11.36%; BOVESPA:5.68%; KOSPI:6.82%; NIFTY:2.27%; DJI:7.95%; SSE:9.09%; SPX:11.36%; NDX:10.23%; ASX:2.27%,0.038,0.018
Market_Indices_Portfolio_7,High,Medium Term,BOVESPA:3.19%; NIK:8.51%; TSX:8.51%; CAC:3.19%; DJI:8.51%; SPX:5.32%; IPC:4.26%; ASX:10.64%; FTSE:1.06%; KOSPI:10.64%; SSE:10.64%; NDX:7.45%; HSI:9.57%; NIFTY:8.51%,0.041,0.019
Market_Indices_Portfolio_8,Medium,Long Term,IPC:10.39%; DAX:10.39%; CAC:10.39%; DJI:9.09%; FTSE:7.79%; TSX:3.90%; ASX:10.39%; SSE:5.19%; HSI:10.39%; BOVESPA:2.60%; SPX:12.99%; NIFTY:1.30%; NIK:5.19%,0.028,0.006
Market_Indices_Portfolio_9,Low,Short Term,SPX:6.45%; IPC:10.75%; NDX:9.68%; HSI:5.38%; CAC:9.68%; DJI:9.68%; NIFTY:2.15%; FTSE:8.60%; DAX:7.53%; NIK:3.23%; BOVESPA:7.53%; ASX:6.45%; SSE:6.45%; KOSPI:6.45%,0.013,0.004
Market_Indices_Portfolio_10,Medium,Long Term,DJI:13.24%; CAC:13.24%; FTSE:5.88%; DAX:10.29%; NDX:14.71%; KOSPI:1.47%; SSE:10.29%; NIFTY:4.41%; TSX:7.35%; ASX:4.41%; SPX:1.47%; NIK:13.24%,0.026,0.006
Market_Indices_Portfolio_11,Medium,Medium Term,KOSPI:3.61%; TSX:1.20%; SSE:8.43%; SPX:10.84%; HSI:9.64%; DJI:8.43%; BOVESPA:7.23%; ASX:1.20%; IPC:2.41%; NDX:12.05%; NIFTY:3.61%; NIK:9.64%; FTSE:8.43%; DAX:1.20%; CAC:12.05%,0.021,0.006
Market_Indices_Portfolio_12,Low,Long Term,NDX:11.84%; ASX:1.32%; NIK:11.84%; CAC:13.16%; HSI:10.53%; SPX:2.63%; NIFTY:3.95%; BOVESPA:3.95%; DAX:1.32%; IPC:9.21%; FTSE:2.63%; SSE:2.63%; TSX:2.63%; KOSPI:13.16%; DJI:9.21%,0.008,0.002
Market_Indices_Portfolio_13,Medium,Medium Term,NIFTY:10.84%; HSI:7.23%; FTSE:3.61%; NDX:4.82%; SSE:6.02%; DAX:2.41%; BOVESPA:10.84%; IPC:8.43%; ASX:3.61%; KOSPI:12.05%; NIK:3.61%; DJI:6.02%; TSX:3.61%; CAC:12.05%; SPX:4.82%,0.029,0.01
Market_Indices_Portfolio_14,Medium,Short Term,ASX:7.32%; NDX:7.32%; BOVESPA:8.54%; IPC:3.66%; DJI:3.66%; HSI:12.20%; TSX:2.44%; CAC:9.76%; NIFTY:6.10%; SSE:12.20%; FTSE:12.20%; NIK:2.44%; SPX:12.20%,0.023,0.008
Market_Indices_Portfolio_15,Low,Short Term,DJI:7.04%; DAX:1.41%; NIFTY:5.63%; BOVESPA:1.41%; HSI:7.04%; IPC:2.82%; TSX:7.04%; KOSPI:8.45%; SPX:5.63%; ASX:14.08%; FTSE:5.63%; NIK:11.27%; CAC:11.27%; NDX:2.82%; SSE:8.45%,0.013,0.004
Market_Indices_Portfolio_16,High,Medium Term,CAC:2.15%; HSI:7.53%; DAX:6.45%; DJI:4.30%; FTSE:1.08%; NDX:10.75%; TSX:7.53%; NIK:10.75%; NIFTY:7.53%; IPC:2.15%; BOVESPA:8.60%; SPX:8.60%; SSE:6.45%; KOSPI:10.75%; ASX:5.38%,0.036,0.019
Market_Indices_Portfolio_17,Medium,Medium Term,SSE:9.09%; BOVESPA:11.36%; DAX:2.27%; HSI:9.09%; KOSPI:6.82%; ASX:1.14%; NIK:10.23%; TSX:9.09%; DJI:2.27%; NIFTY:6.82%; IPC:9.09%; NDX:10.23%; CAC:6.82%; FTSE:1.14%; SPX:4.55%,0.021,0.007
Market_Indices_Portfolio_18,High,Medium Term,TSX:1.92%; NIK:1.92%; FTSE:9.62%; CAC:1.92%; DAX:3.85%; ASX:17.31%; NIFTY:9.62%; DJI:1.92%; SPX:13.46%; IPC:7.69%; HSI:3.85%; SSE:13.46%; NDX:7.69%; BOVESPA:3.85%; KOSPI:1.92%,0.038,0.017
Market_Indices_Portfolio_19,High,Short Term,NDX:11.76%; DAX:5.88%; DJI:7.06%; FTSE:11.76%; CAC:9.41%; NIFTY:1.18%; KOSPI:3.53%; NIK:11.76%; HSI:5.88%; SSE:2.35%; SPX:5.88%; IPC:5.88%; BOVESPA:8.24%; ASX:9.41%,0.038,0.014
Market_Indices_Portfolio_20,Low,Long Term,NIK:9.68%; IPC:9.68%; CAC:9.68%; DJI:8.06%; NDX:3.23%; HSI:4.84%; BOVESPA:8.06%; SPX:4.84%; FTSE:3.23%; ASX:12.90%; KOSPI:14.52%; SSE:11.29%,0.013,0.004
