portfolio_name,risk_profile,time_horizon,assets,estimated_volatility,average_return
Portfolio_1,Low,Short Term,PFE:13.16%; NVDA:6.58%; HD:5.26%; JPM:5.26%; AMZN:11.84%; V:5.26%; INTC:1.32%; TSLA:9.21%; VZ:13.16%; MSFT:13.16%; ORCL:6.58%; WMT:2.63%; UNH:6.58%,0.012,0.005
Portfolio_2,Medium,Medium Term,ORCL:12.73%; UNH:3.64%; AAPL:1.82%; GOOGL:5.45%; DIS:7.27%; VZ:18.18%; CMCSA:12.73%; HD:1.82%; BAC:18.18%; WMT:5.45%; INTC:12.73%,0.039,0.011
Portfolio_3,Low,Long Term,KO:6.82%; AAPL:5.30%; INTC:3.79%; NFLX:5.30%; DIS:3.03%; AMZN:7.58%; PG:4.55%; WMT:6.06%; FB:6.82%; MSFT:6.82%; ABT:7.58%; BRK.B:1.52%; BAC:6.06%; PFE:3.03%; CRM:6.82%; NVDA:4.55%; MRK:0.76%; MA:6.82%; JNJ:6.82%,0.019,0.007
Portfolio_4,Low,Short Term,DIS:8.42%; BAC:6.32%; T:10.53%; AAPL:8.42%; BRK.B:8.42%; AMZN:3.16%; INTC:5.26%; HD:7.37%; V:1.05%; UNH:3.16%; MSFT:8.42%; PFE:1.05%; KO:3.16%; JPM:9.47%; MRK:1.05%; PG:1.05%; ABT:3.16%; TSLA:5.26%; NFLX:1.05%; MA:4.21%,0.011,0.004
Portfolio_5,Low,Medium Term,T:3.03%; NFLX:4.55%; PFE:6.82%; MRK:4.55%; VZ:6.82%; AAPL:4.55%; V:0.76%; MSFT:4.55%; JPM:6.82%; BAC:3.03%; ORCL:3.79%; INTC:5.30%; ABT:1.52%; TSLA:5.30%; WMT:5.30%; HD:5.30%; NVDA:7.58%; ADBE:6.82%; KO:6.06%; MA:7.58%,0.014,0.006
Portfolio_6,Low,Medium Term,KO:2.13%; CRM:2.13%; FB:7.45%; DIS:4.26%; ADBE:1.06%; JNJ:1.06%; TSLA:9.57%; ORCL:5.32%; AAPL:1.06%; CMCSA:5.32%; BRK.B:5.32%; UNH:8.51%; VZ:9.57%; V:6.38%; ABT:9.57%; HD:7.45%; T:4.26%; AMZN:4.26%; JPM:5.32%,0.02,0.008
Portfolio_7,High,Short Term,V:2.00%; MA:7.00%; MSFT:5.00%; PG:3.00%; BAC:9.00%; T:10.00%; TSLA:8.00%; NFLX:10.00%; AMZN:6.00%; KO:6.00%; NVDA:8.00%; ABT:6.00%; CMCSA:10.00%; JPM:4.00%; GOOGL:6.00%,0.057,0.029
Portfolio_8,Medium,Short Term,TSLA:9.21%; UNH:10.53%; FB:3.95%; MRK:5.26%; BAC:1.32%; VZ:2.63%; T:5.26%; ABT:6.58%; ADBE:6.58%; JNJ:3.95%; KO:1.32%; PFE:11.84%; PG:11.84%; GOOGL:11.84%; HD:7.89%,0.034,0.009
Portfolio_9,Low,Medium Term,MRK:9.57%; JPM:3.19%; AMZN:2.13%; NFLX:6.38%; PFE:1.06%; BRK.B:9.57%; INTC:3.19%; BAC:10.64%; MSFT:3.19%; UNH:6.38%; GOOGL:3.19%; T:6.38%; JNJ:4.26%; WMT:5.32%; VZ:2.13%; FB:1.06%; TSLA:9.57%; CRM:6.38%; CMCSA:6.38%,0.01,0.004
Portfolio_10,High,Long Term,INTC:7.00%; T:4.00%; PG:4.00%; NFLX:1.00%; JPM:5.00%; NVDA:9.00%; JNJ:5.00%; CRM:6.00%; MA:2.00%; BRK.B:10.00%; UNH:5.00%; BAC:3.00%; WMT:8.00%; DIS:2.00%; V:8.00%; AAPL:4.00%; ADBE:4.00%; FB:7.00%; PFE:2.00%; VZ:4.00%,0.051,0.026
Portfolio_11,High,Medium Term,MRK:8.82%; MA:5.88%; CRM:11.76%; NFLX:5.88%; MSFT:8.82%; KO:14.71%; HD:14.71%; NVDA:8.82%; PFE:17.65%; ADBE:2.94%,0.053,0.022
Portfolio_12,High,Long Term,WMT:1.98%; AAPL:4.95%; BRK.B:0.99%; INTC:8.91%; HD:5.94%; AMZN:1.98%; NFLX:7.92%; BAC:4.95%; ORCL:1.98%; V:9.90%; VZ:5.94%; DIS:7.92%; PFE:0.99%; MA:9.90%; FB:2.97%; JNJ:8.91%; MSFT:0.99%; T:7.92%; ABT:1.98%; CRM:2.97%,0.055,0.026
Portfolio_13,High,Long Term,MRK:3.70%; BRK.B:3.70%; NFLX:12.96%; MSFT:3.70%; ABT:12.96%; DIS:12.96%; JPM:3.70%; CMCSA:12.96%; MA:9.26%; ORCL:16.67%; UNH:7.41%,0.062,0.026
